entity_name,entity_type
Beh Tam Ravankar,Entity
Dafeng Cai,Individual
Behran Trading Company,Entity
Turira Company,Entity
Kaveh Shargh Steel Co.,Entity
Arvand Kaveh Steel Co.,Entity
Ex-Cle Soluciones Biometricas C.A.,Entity
Mahmoud Alavi,Individual
Guillermo Carlos San Agustin,Individual
Marcos Javier Machado Requena,Individual
Abdullahi Osman Mohamed,Individual
Tabchem Chemical Industries Co.,Entity
Pishro Iran Financial And Investment Company,Entity
Weihua Wu,Individual
Secondeye Solution,Entity
Walmaro Antonio Gutierrez Mercado,Individual
Fidel De Jesus Dominguez Alvarez,Individual
Kurchaloi District Of The Chechen Republic Branch Of The Ministry Of Internal Affairs Of The Russian Federation,Entity
Khusein Merlovich Khutaev,Individual
Nurid Denilbekovich Salamov,Individual
Dzhabrail Alkhazurovich Akhmatov,Individual
Absolute Championship Akhmat,Entity
Raimbek Matraimov,Individual
Akhmat Mma,Entity
Fc Akhmat Grozny,Entity
World Hongmen History And Culture Association,Entity
Vakhit Usmayev,Individual
Megastroyinvest Ltd,Entity
Chechen Mineral Waters Ltd,Entity
Wan Kuok Koi,Individual
Timur Dugazaev,Individual
Marvin Ramiro Aguilar Garcia,Individual
Fednel Monchery,Individual
Joseph Pierre Richard Duplan,Individual
Jimmy Cherizier,Individual
Mohsin Raza,Individual
Mujtaba Ali Raza,Individual
The Oxytech,Entity
Like Wise,Entity
Fresh Air Farm House,Entity
Mksofttech,Entity
Shahzad Ahmed,Individual
Osama Al Kuni Ibrahim,Individual
Alyaksandr Vyachaslavavich Astreika,Individual
Hasan Irlu,Individual
Main Internal Affairs Directorate Of The Minsk City Executive Committee,Entity
Minsk Special Purpose Police Unit,Entity
Fides Ship Management Llc,Entity
Syed Ali Raza,Individual
Muhammad Khizar Hayat,Individual
Syed Johar Hasnain,Individual
Shahid Meisami Group,Entity
Mehran Babri,Individual
Henadz Arkadzievich Kazakevich,Individual
Anhui Greatwall Military Industry Company Limited,Entity
Paya Saman Pars,Entity
Payandan Company,Entity
Las Ingenierias S.A.S.,Entity
Fresno Home S.A.S.,Entity
Distriecor S.A.S.,Entity
Multioperaciones De Occidente S.A.S.,Entity
Hoda Trading,Entity
Ltd. Proma Industry Co.,Entity
Ltd. Soltech Industry Co.,Entity
Mohammad Soltanmohammadi,Individual
Ltd. Des International Co.,Entity
Ltd. Naz Technology Co.,Entity
Shih Mei Sun,Individual
Artin Sana'At Tabaan Company,Entity
Mohammad Banihashemi,Individual
Chin-Hua Huang,Individual
Edwina Lau,Individual
Harry Varney Gboto-Nambi Sherman,Individual
Kwai-Wah Li,Individual
Einer Murillo Palacios,Individual
Euclides Correa Salas,Individual
Tatiana Marguerid Zapata Garzon,Individual
Jhon Fredy Zapata Garzon,Individual
Islamic Radio And Television Union,Entity
International Union Of Virtual Media,Entity
Bayan Rasaneh Gostar Institute,Entity
Nabil Qaouk,Individual
Hassan Al-Baghdadi,Individual
Bakhtar Commercial Company,Entity
Kavian Petrochemical Company,Entity
Strait Shipbrokers Pte. Ltd.,Entity
Zhonghua Deng,Individual
Murtuza Mustafamunir Basrai,Individual
Hossein Firouzi Arani,Individual
Ramezan Oladi,Individual
National Defense Forces,Entity
Saqr Rustom,Individual
Falih Al-Fayyadh,Individual
Gibran Bassil,Individual
Eugenio Dario Molina Lopez,Individual
Lin Na Wei,Individual
Coal Tar Refining Company,Entity
Jiangzhou Li,Individual
Amir-Mansour Borghei,Individual
North Wood Industry Company,Entity
Kaveh Khozestan Aluminum Company,Entity
Omran Va Maskan Iran Company,Entity
Sina Tile And Ceramic Industries Company,Entity
Sina Currency Exchange Company,Entity
International Trade And Industrial Technology Itritec Gmbh,Entity
Bonyad Shipping Agencies Company,Entity
Pars Tile Company,Entity
Selkbaf Co,Entity
Aliaf Company,Entity
Somic Engineering And Management Co,Entity
Bonyad Eastern Railway Company,Entity
Hejab Textile Company,Entity
Pishgaman Horizon Development Iranian Business Trading Company,Entity
Sina Rail Pars Company,Entity
Parsian Tourism And Recreational Centers Company,Entity
Tehran International Transport Co,Entity
Behran Oil Co.,Entity
Iran Tire Manufacturing Company,Entity
Sina Port And Marine Services Development Company,Entity
Iran Electronic Development Company,Entity
Javad Ghana'At,Individual
Khosro Mokhtari,Individual
Sina Energy Development Company,Entity
Sina Paya Sanat Development Co.,Entity
Mohammad Eskandari,Individual
Mohsen Alikhani,Individual
Seyyed Zia Imani,Individual
Islamic Revolution Mostazafan Foundation,Entity
Sanati Doodeh Fam Co.,Entity
Kaveh Pars Mining Industries Development Company,Entity
Javad Oji,Individual
Peyvand Tejarat Atieh Iranian Company,Entity
Seyyed Mohammad Atabak,Individual
Shisheh Va Gas Industries Group,Entity
Sina Financial And Investment Holding Company,Entity
Damavand Mining,Entity
Tehran Cement Company,Entity
Rah Negar Pars Middle East Company,Entity
National Lottery Ood,Entity
Nove Development Eood,Entity
Woodhaven Drc Sasu,Entity
Alain Mukonda Mayandu,Individual
Leopoldino Fragoso Do Nascimento,Individual
Ventora Global Services,Entity
Ventora Mining S.A.S.U.,Entity
Andriy Volodymyrovych Portnov,Individual
Andriy Portnov Fund,Entity
Khan Mohammad Azad,Individual
Mohammad Jahangir Alam,Individual
Keen Well International Limited,Entity
Shohrat Zakir,Individual
Gx Shipping Fze,Entity
Kharg Petrochemical Company Limited,Entity
Leila Vaseghi,Individual
Ali Hemmatian,Individual
Masoud Safdari,Individual
Qahtan Khalil,Individual
Rosehill Drc Sasu,Entity
Kamal Al-Hassan,Individual
Woodford Enterprises Limited Sasu,Entity
Kaltona Limited Sasu,Entity
Robna Kuca Metal D.O.O.,Entity
Sinisa Nedeljkovic I.B.,Entity
Saw Myint Oo,Individual
Maung Ko,Individual
Khat Htein Nan,Individual
European Institute Justo,Entity
Dmitriy Yurevich Soin,Individual
Sek Studio,Entity
Nings Cartoon Studio,Entity
Hezheng Lu,Individual
Shanghai Hongman Cartoon And Animation Design Studio,Entity
Kintaleg Limited,Entity
Ashdale Settlement Gerco Sas,Entity
Opera,Entity
Palatina Sarlu,Entity
Gemini S.A.S.U.,Entity
Multree Limited Sasu,Entity
Mohsen Ebrahimi,Individual
Soghra Khodadadi,Individual
Mohammad Karami,Individual
Zahedan Prison,Entity
Isfahan Central Prison,Entity
Srdjan Milivoje Vulovic,Individual
Ltd. Wuhan Yuancheng Gongchuang Technology Co.,Entity
Marko Rosic,Individual
Milan Mihajlovic,Individual
Guerreros Unidos,Entity
Ramon Humberto Calderon Vindell,Individual
Los Rojos,Entity
Wilder Emilio Sanchez Farfan,Individual
Alternativna Televizija D.O.O. Banja Luka,Entity
Haytham Ahmad Shukri Ahmad Al-Maghrabi,Individual
Mohamed Sherif Mohamed Mohamed Awadd,Individual
Enterprise Comercio De Moveis E Intermediacao De Negocios Eireli,Entity
Manuel Helder Vieira Dias,Individual
Baia Consulting Limited,Entity
Luisa De Fatima Giovetty,Individual
Nahima Janett Diaz Flores,Individual
Fanavaran Petrochemical Company,Entity
Hassan Karami,Individual
Adeeb Namer Salameh,Individual
Seyed Reza Mousavi Azami,Individual
Tawfiq Muhammad Khadour,Individual
Muhammad Yousef Al-Hasouri,Individual
Bayardo De Jesus Pulido Ortiz,Individual
Bayardo Ramon Rodriguez Ruiz,Individual
Farma Izvori B.I.,Entity
Rosa Adelina Barahona Castro,Individual
Marun Petrochemical Company,Entity
Sky Zone Trading Fze,Entity
Teamford Enterprises Limited,Entity
Youchem General Trading Fze,Entity
Erken Tuniyaz,Individual
Mohammed Shaheed Ruknooddin Bhore,Individual
Celina Delgado Castellon,Individual
Jingfeng Gao,Individual
Future Gate Fuel And Petrochemical Trading L.L.C.,Entity
P.P.Robna Kuca Metal B.I.,Entity
P.T.P. Metal Sinisa Nedeljkovic B.I.,Entity
Metal-Robna Kuca,Entity
Sinisa Nedeljkovic,Individual
Betonjerka Doo Aleksinac,Entity
Civija Komerc,Entity
Dolly Bell Doo Beograd-Novi Beograd,Entity
Doo Babudovac Brnjak,Entity
Novi Pazar-Put D.O.O. Novi Pazar,Entity
P.P. Eu Rr Gradnja Radovan Radic B.I.,Entity
Doo Mm Kom Inter Blue Donji Jasenovik,Entity
S.T.R. Kristal Zarko Veselinovic B.I.,Entity
Yitu Limited,Entity
Leon Technology Company Limited,Entity
Netposa Technologies Limited,Entity
Ltd. Xiamen Meiya Pico Information Co.,Entity
Public Joint-Stock Company Commercial Bank 'Sputnik',Entity
Phirun Chau,Individual
Vinh Tea,Individual
Transadria Ltd,Entity
Radule Stevic,Individual
Miljan Radisavljevic,Individual
Radovan Radic,Individual
Miljojko Radisavljevic,Individual
Abdollah Mehrabi,Individual
Eritrean Defense Forces,Entity
Leonidas Nicolas Centeno Rivera,Individual
Francisco Ramon Valenzuela Blandon,Individual
Jose Adrian Chavarria Montenegro,Individual
Rodolfo Francisco Lopez Gutierrez,Individual
Jose Antonio Castaneda Mendez,Individual
Emennet Pasargad,Entity
Prince Yormie Johnson,Individual
Izibits Ou,Entity
Chatextech Sia,Entity
Hightrade Finance Ltd,Entity
Yevgeniy Igorevich Polyanin,Individual
Yaroslav Vasinskyi,Individual
Polyanin Evgenii Igorevich Ip,Entity
Zvonko Veselinovic,Individual
Salvador Mansell Castrillo,Individual
Home Elegance Comercio De Moveis Eireli,Entity
Red Sea Trading Corporation,Entity
Milan Rajko Radojcic,Individual
Ismatullah Khalozai,Individual
Carlos Amilcar Marroquin Chica,Individual
Alma Yanira Meza Olivares,Individual
Myo Swe Win,Individual
Segunda Marquetalia,Entity
Hernan Dario Velasquez Saldarriaga,Individual
Nestor Gregorio Vera Fernandez,Individual
Euclides Espana Caicedo,Individual
P.P. Babudovac B.I.,Entity
S.Z.T.R. Prizma B.I.,Entity
Ferari Preduzeee Za Usluge I Promet Polovnim Vozilima Sh.A.,Entity
Garac Inzenjering Ood,Entity
Doo Rad 028 Zvecan,Entity
P.T.P. Rad Radule Stevic B.I.,Entity
Rad D.O.O.,Entity
Markom Metal Commerce Doo Zvecan,Entity
Tofayel Mustafa Sorwar,Individual
Mohammad Anwar Latif Khan,Individual
Chowdhury Abdullah Al-Mamun,Individual
Benazir Ahmed,Individual
Zharko Jovan Veselinovic,Individual
Andrija Zheljko Bojic,Individual
Zeljko Bojic,Individual
Cochan S.A.,Entity
Cochan Holdings Llc,Entity
Geni Sarl,Entity
Hidri Trust,Entity
Sanaullah Ghafari,Individual
Sultan Aziz Azam,Individual
Maulawi Rajab,Individual
Manuel Victor Martinez Olivet,Individual
Abel Kandiho,Individual
Arc Resources Corporation Ltd,Entity
Winners Construction Company Limited,Entity
Osiris Luna Meza,Individual
Rapid Action Battalion,Entity
Geni Novas Tecnologias S.A.,Entity
Yousef Aboutalebi,Individual
World Human Care,Entity
Industrial-Commercial Private Unitary Enterprise Minotor-Service,Entity
Viktor Gennadievich Khrenin,Individual
Bank Dabrabyt Joint Stock Company,Entity
Belarussian Bank Of Development And Reconstruction Belinvestbank Joint Stock Company,Entity
Cjsc Belbizneslizing,Entity
Viachaslau Yevgenyevich Rassalai,Individual
Aliaksandr Mikalaevich Zaitsau,Individual
Ooo Sokhra,Entity
Odna Rodyna,Entity
Rhythm Of Eurasia,Entity
Journal Kamerton,Entity
Geopolitica,Entity
United World International,Entity
Konstantin Sergeyevich Knyrik,Individual
Yuriy Sergeyevich Fedin,Individual
Aelita Leonidovna Mamakova,Individual
Yuriy Anatolyevich Prokofyev,Individual
Darya Aleksandrovna Dugina,Individual
Dmitry Aleksandrovich Pantus,Individual
Okb Tsp Scientific Production Limited Liability Company,Entity
State Owned Foreign Trade Unitary Enterprise Belspetsvneshtechnika,Entity
Limited Liability Company Belinvest-Engineering,Entity
Aliaksei Ivanavich Rymasheuski,Individual
Aliaksandr Piatrovich Vetsianevich,Individual
Llc Synesis,Entity
Llc 24X7 Panoptes,Entity
Aliaksandr Yauhenavich Shatrou,Individual
Pye Phyo Tay Za,Individual
Htoo Htet Tay Za,Individual
Construction And General Trade Sarl Al Amir Co. For Engineering,Entity
Inshaat Co Sarl,Entity
Golden Group Sal Off Shore,Entity
Golden Group Trading Sarl,Entity
Jammoul And Ayad For Industry And Trade,Entity
Land Metics Sarl,Entity
Landmetics Sal Off-Shore,Entity
Top Fashion Gmbh Konfektionsbugelei,Entity
Hamidco Investment Limited,Entity
Hamer And Nail Construction Limited,Entity
Freddy Arnoldo Salazar Flores,Individual
Roger Antulio Samayoa Montejo,Individual
Ali Adel Diab,Individual
Jihad Adnan Ayad,Individual
Adnan Ayad,Individual
Miguel Angel Valdez Ruiz,Individual
Alexander Zhuchkovsky,Individual
Anton Thulin,Individual
Ali Mohamad Daoun,Individual
Jihad Salim 'Alamah,Individual
Dar Al Salam For Travel & Tourism,Entity
Yong Ho O,Individual
Roman Anatolyevich Alar,Individual
Parsek Llc,Entity
Adel Diab,Individual
Directorate Of Procurement Of The Commander-In-Chief Of Defense Services Army,Entity
Kt Services & Logistics Ktsl Company Limited,Entity
Jonathan Myo Kyaw Thaung,Individual
Tay Za,Individual
Oje Parvaz Mado Nafar Company,Entity
Mohammad Ebrahim Zargar Tehrani,Individual
Kimia Part Sivan Company Llc,Entity
Thet Thet Aung,Individual
Than Than Aye,Individual
Aung Mar Myint,Individual
Khaing Pa Pa Chit,Individual
Moe Htet Htet Tun,Individual
Khaing Moe Myint,Individual
Yadanar Moe Myint,Individual
Daw Nilar,Individual
Theit Thinzar Ye,Individual
Ohn Mar Myint,Individual
Shwe Ye Phu Aung,Individual
Hlaing Bwar Aung,Individual
Phyo Arkar Aung,Individual
Ousmane Illiassou Djibo,Individual
Shock Sports Club,Entity
Aler Baldomero Samayoa Recinos,Individual
Than Than Nwe,Individual
Los Huistas Drug Trafficking Organization,Entity
Kyu Kyu Hla,Individual
Myint Kyaing,Individual
Thet Thet Khine,Individual
Ltd. Hebei Huanhao Biotechnology Co.,Entity
Aldrin Miguel Jarquin Jarquin,Individual
Jose Jesus Jarquin Jarquin,Individual
Cesar Enrique Diaz De Leon Sauceda,Individual
Ahmed Al-Dib,Individual
Asef Al-Deker,Individual
Malik Ali Habib,Individual
Wafiq Nasser,Individual
Syrian Military Intelligence Branch 290 - Aleppo Branch,Entity
Syrian Military Intelligence Branch 215 - Raids,Entity
Syrian Military Intelligence Branch 216,Entity
Syrian Military Intelligence Branch 227 - Al Mintaqa Branch,Entity
Syrian Military Intelligence Branch 235 - Palestine,Entity
Syrian Military Intelligence Branch 248 - Investigation,Entity
Saydnaya Military Prison,Entity
Axel Bladimir Montejo Saenz,Individual
Werner Dario Molina Montejo,Individual
Sociedad Anonima Compradores Y Exportadores De Cafe Captzin,Entity
Belkaztrans,Entity
Belkaztrans Ukraine,Entity
Dzmitry Aliaksandravich Lukashenka,Individual
Alvaro Lopez Miera,Individual
Ihar Ryhoravich Keniukh,Individual
Hleb Uladzimiravich Dryl,Individual
Uladzimir Iosifavich Lapyr,Individual
Brigada Especial Nacional Del Ministerio Del Interior,Entity
Policia Nacional Revolucionaria,Entity
Oscar Alejandro Callejas Valcarce,Individual
Eddy Manuel Sierra Arias,Individual
Fernando Zagal Anton,Individual
Dzmitry Iurevich Hara,Individual
National Olympic Committee Of The Republic Of Belarus,Entity
Kanstantsin Fiodaravich Bychak,Individual
Open Joint-Stock Company Grodno Tobacco Factory Neman,Entity
Novopolotsk Limited Liability Company Interservice,Entity
Mikalai Mikalaevich Varabei,Individual
Darya Shmanai,Individual
S.C. De R.L. De C.V. Acuaindustria Narciso Mendoza,Entity
S.A. De C.V. Club Indios Rojos De Juarez,Entity
Dong Chen,Individual
Jianping Yang,Individual
Hong Qiu,Individual
Xinning Lu,Individual
Tieniu Tan,Individual
Jing He,Individual
Zonghua Yin,Individual
Saraya Al-Areen,Entity
Aung Naing Oo,Individual
Ahmad Ihsan Fayyad Al-Hayes,Individual
Sergio Valenzuela Valenzuela,Individual
Luis Alberto Carrillo Jimenez,Individual
Miguel Raymundo Marrufo Cabrera,Individual
Jorge Damian Roman Figueroa,Individual
Jaime Gonzalez Higuera,Individual
Meliton Rochin Hurtado,Individual
Gilberto Martinez Renteria,Individual
Leonardo Pineda Armenta,Individual
Raed Jassim Al-Hayes,Individual
Chit Naing,Individual
Ivan Stanislavavich Tsertsel,Individual
State Security Committee Of The Republic Of Belarus,Entity
Ltd. Fujian Torch Electron Technology Co.,Entity
Ltd. Inner Mongolia First Machinery Group Co.,Entity
Cssc Offshore & Marine Engineering (GROUP) Company Limited,Entity
Real Estates Int Ltd Eood,Entity
Int Invest Eood,Entity
Avic Aviation High-Technology Company Limited,Entity
Ltd Aerospace Ch Uav Co.,Entity
Ltd China Aerospace Times Electronics Co.,Entity
Ltd. Huawei Investment & Holding Co.,Entity
Ltd. Jiangxi Hongdu Aviation Industry Co.,Entity
Proven Glory Capital Limited,Entity
China Avionics Systems Company Limited,Entity
Proven Honour Capital Limited,Entity
China Shipbuilding Industry Company Limited,Entity
Ltd Guizhou Space Appliance Co.,Entity
Changsha Jingjia Microelectronics Company Limited,Entity
China Marine Information Electronics Company Limited,Entity
Inttrafik Eood,Entity
Aerospace Communications Holdings Group Company Limited,Entity
China Communications Construction Group (LIMITED),Entity
Ltd. China Satellite Communications Co.,Entity
National Lottery Ad,Entity
Property-Vb Ood,Entity
Trans Nove Ood,Entity
Moststroy Iztok Ad,Entity
Galenit Invest Ad,Entity
Decart Ood,Entity
Meliora Academica Eood,Entity
Domino Games Ood,Entity
China Shipbuilding Industry Group Power Company Limited,Entity
Ml Build Ead,Entity
Avic Heavy Machinery Company Limited,Entity
Ltd. Avic Jonhon Optronic Technology Co.,Entity
Avic Shenyang Aircraft Company Limited,Entity
Delyan Slavchev Peevski,Individual
Ilko Dimitrov Zhelyazkov,Individual
Int Ltd Eood,Entity
Intrust Plc Ead,Entity
Bm Systems Ead,Entity
Closed Joint-Stock Company New Oil Company,Entity
Ltd. Costar Group Co.,Entity
Efbet Partners Ood,Entity
Adoon General Trading Fze,Entity
Eurofootball Ood,Entity
Siguro Eood,Entity
Jami' 'Ali Muhammad,Individual
Hani 'Abd-Al-Majid Muhammad As'Ad,Individual
Adoon General Trading Gida Sanayi Ve Ticaret Anonim Sirketi,Entity
Talib 'Ali Husayn Al-Ahmad Al-Rawi,Individual
Abdul Jalil Mallah,Individual
Swaid And Sons For Exchange Co.,Entity
Sergei Yevgenevich Zubkov,Individual
Saw Daniel,Individual
Banyar Aung Moe,Individual
Aye Nu Sein,Individual
Dzmitry Shakuta,Individual
Zhonghang Electronic Measuring Instruments Company Limited,Entity
Adoon General Trading L.L.C.,Entity
Shaanxi Zhongtian Rocket Technology Company Limited,Entity
Internews 98 Ood,Entity
Vabo 2008 Eood,Entity
Vertex Properties Eood,Entity
Vb Management Eood,Entity
Games Unlimited Ood,Entity
Evrobet - Rumania Eood,Entity
Old Games Eood,Entity
Va Bo Company Eood,Entity
Adler Bg Ad,Entity
Vabo Management Eood,Entity
Vabo 2012 Eood,Entity
Vabo 2017 Ood,Entity
Lottery Bg Ood,Entity
Prim Bg Ead,Entity
Eurogroup Engineering Ead,Entity
Nanjing Panda Electronics Company Limited,Entity
Aerosun Corporation,Entity
Ltd. North Navigation Control Technology Co.,Entity
Vihrogonika Ad,Entity
Limited Liability Company New Oil Company East,Entity
Closed Joint Stock Company Absolutbank,Entity
Industrial Unitary Enterprise Oil Bitumen Plant,Entity
Mohammad Ali Damirchilu,Individual
Mostafa Puriya,Individual
Hossein Asadollah,Individual
Mohammad Reza Kazemi,Individual
Hemera Infotech Fzco,Entity
Seyed Morteza Minaye Hashemi,Individual
Su Xuan Yan,Individual
Limited China 49 Group Co.,Entity
Limited Taiwan Be Charm Trading Co.,Entity
Limited Black Drop Intl Co.,Entity
Jing Song,Individual
Pca Xiang Gang Limited,Entity
Yahya Muhammad Al-'Abd-Al-Muhsin,Individual
Damineh Optic Limited,Entity
Victory Somo Group Hk Limited,Entity
Majdi Fa'Iz Al-Ustadz,Individual
Yummy Be Charm Trading Hk Limited,Entity
Samaneh Damirchilu,Individual
Omid Yazdanparast,Individual
'Abd Al-Rahman 'Abd Al-Nabi Shams,Individual
Abd Al-Muayyid Al-Banai,Individual
Kiya Sadeghi,Individual
Omid Noori,Individual
S.R.O. Suex Otc,Entity
Republican Unitary Enterprise Tsentrkurort,Entity
Anatol Piatrovich Lapo,Individual
Ihar Yauhenavich Butkevich,Individual
Raman Leanidavich Podlineu,Individual
Ihar Mikalaevich Pechan,Individual
Sulaiman Al-Banai,Individual
Siarhei Ihnatavich Novikau,Individual
Igor Nikolaevich Gutnik,Individual
Aleksandr Pavlovich Zhivlyuk,Individual
Andrei Iosifovich Makarevich,Individual
Vladimir Vladimirovich Vashkevich,Individual
Aleksandr Ivanovich Alyoksa,Individual
Dmitriy Mikhaylovich Korzyuk,Individual
Ali Reda Hassan Al Banai,Individual
'Ali Ridha Qasabi Lari,Individual
Konstantin Gennadievich Molostov,Individual
Mahmoud Khazein,Individual
Aldar Properties,Entity
Soner Gurleyen,Individual
People'S Front For Democracy And Justice,Entity
Sadrach Zeledon Rocha,Individual
Mostafa Sarmadi,Individual
Hosein Akbari Nodeh,Individual
Seyyed Mohammad Hosein Musa Kazemi,Individual
Sajjad Kashian,Individual
Seyyed Mehdi Hashemi Toghroljerdi,Individual
Jamil Sayyed,Individual
Dany Khoury,Individual
Jihad Al-Arab,Individual
Dzmitriy Yurievich Baskau,Individual
Hagos Ghebrehiwet W Kidan,Individual
Abraha Kassa Nemariam,Individual
Directorate Of Defense Industries,Entity
Saeed Aghajani,Individual
Inkop Doo Cuprija,Entity
Cebrail Guzel,Individual
Majdi Muhammad Muhammad Salim,Individual
Muhammad Nasr Al-Din Al-Ghazlani,Individual
Hasib Muhammad Hadwan,Individual
Ali Al-Sha'Ir,Individual
Mohamed Mohamed Farrara Lashtar,Individual
Talib Husayn Ali Jarak Ismail,Individual
Jamal Husayn 'Abd 'Ali 'Abd-Al-Rahim Al-Shatti,Individual
Nurettin Muslihan,Individual
Foreign Limited Liability Company Slavkali,Entity
Open Joint Stock Company Belarusian Potash Company,Entity
Republican State Public Association Presidential Sports Club,Entity
Ooo Gardservis,Entity
Peleng Jsc,Entity
Cjsc Beltechexport,Entity
Kidma Tech Ojsc,Entity
Otkrytoye Aktsionernoye Obschestvo Tae Avia,Entity
Agrorozkvit Llc,Entity
Vato 2002 Eood,Entity
Alireza Shahvaroghi Farahani,Individual
Ltd Dawning Information Industry Co.,Entity
Fsb Criminalistics Institute,Entity
Aleh Siarheevich Haidukevich,Individual
Leanid Mikalaevich Churo,Individual
Ooo Oboronnye Initsiativy,Entity
Belaruskali Oao,Entity
Aliaksei Mikalaevich Auramenka,Individual
Vyacheslav Vasilyevich Khoroneko,Individual
Artsiom Igaravich Sikorski,Individual
Genadz Branislavavich Davydzka,Individual
Vladimir Mikhaylovich Bogdanov,Individual
Thida Oo,Individual
Tun Tun Oo,Individual
Luis Angel Montenegro Espinoza,Individual
Stanislav Valentinovich Makshakov,Individual
Aleksei Semyonovich Sedov,Individual
Additional Liability Company Belneftegaz,Entity
Department Of Internal Affairs Of The Gomel Regional Executive Committee,Entity
Limited Liability Company Bremino Group,Entity
Aliaksey Ivanavich Aleksin,Individual
Andrei Alekseevich Rybakov,Individual
Andrei Nikolayevich Bunakov,Individual
Igor Vasilyevich Lyashenko,Individual
Investigative Committee Of The Republic Of Belarus,Entity
Oleg Stanislavovich Shandarovich,Individual
Tin Oo,Individual
Anatoly Ivanovich Vasiliev,Individual
Martha Carolina Recinos De Bernal,Individual
Dana Holdings Limited,Entity
Nebojsa Karic,Individual
Foreign Limited Liability Company Dana Astra,Entity
Limited Liability Company Emirates Blue Sky,Entity
Limited Liability Company Dubai Water Front,Entity
Closed Joint Stock Company Energo-Oil,Entity
Limited Liability Company Inter Tobacco,Entity
Siarhei Yakaulevich Azemsha,Individual
Sensetime Group Limited,Entity
Ministerio Publico De Nicaragua,Entity
Bonomade Machude Omar,Individual
Poligono Santa Marta S.A.S.,Entity
Exclusive Import Export S.A.S.,Entity
Ooo Konstanta,Entity
Andrei Yevgenevich Parshin,Individual
Oleg Valentinovich Larin,Individual
Denis Grigorievich Chemodanov,Individual
Roberto Legra Sotolongo,Individual
Andres Laureano Gonzalez Brito,Individual
Mikhail Petrovich Bedunkevich,Individual
Vasiliy Vasilievich Sysoyev,Individual
Dmitriy Aleksandrovich Kovach,Individual
Abelardo Jimenez Gonzalez,Individual
Joint Stock Company 140 Repair Plant,Entity
Megvii Technology Limited,Entity
Ltd. Sz Dji Technology Co.,Entity
Ltd. Cloudwalk Technology Co.,Entity
Luis Antonio Bermudez Mejia,Individual
Juan Carlos Reales Britto,Individual
Washington Antunez Musso,Individual
Zulma Maria Musso Torres,Individual
Ali Mohamed Rage,Individual
Abdikadir Mohamed Abdikadir,Individual
Mahmood Rashid Amur Al Habsi,Individual
Filipos Woldeyohannes,Individual
African Gold Refinery Limited,Entity
Nimr International L.L.C.,Entity
Bravery Maritime Corporation,Entity
Orbit Petrochemicals Trading Llc,Entity
Tropas De Prevencion,Entity
Romarico Vidal Sotomayor Garcia,Individual
Pedro Orlando Martinez Fernandez,Individual
Joint Stock Company Nobility,Entity
Nimr International S.R.L.,Entity
Ibrahim Mustafa,Individual
Korea Mining Development Trading Corporation,Entity
Dayma Sulayman,Individual
Union Of Good,Entity
Hsien Cheng Chou,Individual
Naing Win Thet,Individual
Oo Oo Khine,Individual
Li Myint,Individual
Suthep Samsaeng,Individual
Thit Akiraphokin,Individual
Atchara Prapatwora,Individual
Kong Po,Individual
Chanchira Boonchua,Individual
Aung Hla,Individual
Chin Sung Chang,Individual
Ssu Lao,Individual
Kuo Neng Shih,Individual
Ta Fa Cha,Individual
Cheng Yun,Individual
La Bo Kya,Individual
S.A. De C.V. American Tune Up,Entity
Cheng Yu Li,Individual
S.A. De C.V. Farmacia Jerlyne,Entity
Jose Gerardo Alvarez Vazquez,Individual
Abdul Reza Shahlai,Individual
Iran Communication Industries,Entity
Shiraz Electronics Industries,Entity
Iran Electronics Industries,Entity
Henry De Jesus Rangel Silva,Individual
Hugo Armando Carvajal Barrios,Individual
Farasakht Industries,Entity
Hsein Tai Tsai,Individual
Lu-Chi Su,Individual
Trans Merits Co. Ltd.,Entity
Global Interface Company Inc.,Entity
Rosalinda Rendon Poblete,Individual
Javier Pulido Valdivia,Individual
Jaime Arturo Ladino Avila,Individual
Patricia Amezcua Contreras,Individual
Adan Amezcua Contreras,Individual
S.A. De C.V. Laboratorios Willmar,Entity
Shao Kuei Tuan,Individual
Kai Shou Li,Individual
Hua Chiang Pao,Individual
Tet Kham (S) Pte. Ltd.,Entity
Ahmed Abdi Aw-Mohamed,Individual
Issa Osman Issa,Individual
Mukhtar Robow,Individual
Naval Defence Missile Industry Group,Entity
Redouane El Habhab,Individual
National Iranian Oil Company,Entity
Naftiran Intertrade Co. (NICO) Limited,Entity
Naftiran Intertrade Co. (NICO) Sarl,Entity
Fritz Martin Gelowicz,Individual
Adem Yilmaz,Individual
Waad Project,Entity
Tamil Foundation,Entity
Free Life Party Of Kurdistan,Entity
Abdul Haq,Individual
Fazeel-A-Tul Shaykh Abu Mohammed Ameen Al-Peshawari,Individual
Abdul Qadeer Khan,Individual
Vest Spectrum (S) Pte. Ltd.,Entity
Yangon Airways Company Limited,Entity
Ltd. Dehong Thailong Hotel Co.,Entity
Tet Kham Construction Company Limited,Entity
Yu Liang Pao,Individual
Yu Yi Pao,Individual
Yu Hsiang Pao,Individual
Hsueh Yuan Wei,Individual
Hsueh Lung Wei,Individual
Chun Ting Ho,Individual
Khum Thaw Company Limited,Entity
Sangsiri Kankaset Company Limited,Entity
Abdelrazag Elsharif Elosta,Individual
Ltd. Tet Kham Gems Co.,Entity
Shuen Wai Holding Limited,Entity
